Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
118.868792534,100.0117,15372286728.0913,4.166875,0,1
119.923503399,100.0117,15372286728.0913,4.165625,0,1
120.978268623,100.0117,15372286728.0913,4.1675,0.625,1
121.857405186,100.0117,15372286728.0913,4.1675,-0.3125,1
122.912073135,100.0117,15372286728.0913,4.1675,0,1
123.966851234,100.0117,15372286728.0913,4.166875,0.625,1
124.845991611,100.0117,15372286728.0913,4.1675,0.9375,1
125.900644302,100.0117,15372286728.0913,4.165,-0.9375,1
126.955421925,100.0117,15372286728.0913,4.1675,0.625,1
127.834462166,100.0117,15372286728.0913,4.166875,0,1
128.889200211,100.0117,15372286728.0913,4.168125,-0.9375,1
129.944067001,100.0117,15372286728.0913,4.16625,-1.25,1
130.998874187,100.0117,15372286728.0913,4.16625,-0.9375,1
131.877762318,100.0117,15372286728.0913,4.165625,2.1875,1
132.932698727,100.0117,15372286728.0913,4.166875,0.3125,1
133.987337112,100.0117,15372286728.0913,4.16625,0.3125,1
134.866328239,100.0117,15372286728.0913,4.168125,-1.5625,1
135.921278954,100.0117,15372286728.0913,4.16625,0,1
136.975903988,100.0117,15372286728.0913,4.1675,-0.3125,1
137.854895115,100.0117,15372286728.0913,4.166875,-0.625,1
138.909788609,100.0117,15372286728.0913,4.1675,1.5625,1
139.964467525,100.0117,15372286728.0913,4.1675,-0.3125,1
140.843447208,100.0117,15372286728.0913,4.16625,-0.3125,1
141.898339748,100.0117,15372286728.0913,4.165625,0.625,1
142.953043938,100.0117,15372286728.0913,4.16625,-0.3125,1
143.832089901,100.0117,15372286728.0913,4.166875,0.3125,1
144.886975765,100.0117,15372286728.0913,4.16625,0.3125,1
145.941610336,100.0117,15372286728.0913,4.16875,0,1
146.996408463,100.0117,15372286728.0913,4.16625,1.875,1
147.875529766,100.0117,15372286728.0913,4.16625,-0.625,1
148.930164337,100.0117,15372286728.0913,4.16625,-0.625,1
149.984994411,100.0117,15372286728.0913,4.165625,-0.3125,1
150.863958359,100.0117,15372286728.0913,4.1675,0,1
151.918750286,100.0117,15372286728.0913,4.16625,0.3125,1
152.973628998,100.0117,15372286728.0913,4.16625,1.5625,1
153.852541447,100.0117,15372286728.0913,4.1675,0.3125,1
154.907313824,100.0117,15372286728.0913,4.165625,0.9375,1
155.962214470,100.0117,15372286728.0913,4.16625,0,1
156.841084480,100.0117,15372286728.0913,4.16625,0.625,1
157.895895958,100.0117,15372286728.0913,4.1675,-0.625,1
158.950775146,100.0117,15372286728.0913,4.168125,0.625,1
159.829699039,100.0117,15372286728.0913,4.166875,-0.625,1
160.884452343,100.0117,15372286728.0913,4.16625,-0.3125,1
161.939349651,100.0117,15372286728.0913,4.165625,-0.3125,1
162.994026184,100.0117,15372286728.0913,4.166875,0.9375,1
163.873003006,100.0117,15372286728.0913,4.16625,-0.625,1
164.927935600,100.0117,15372286728.0913,4.168125,0.9375,1
165.982608318,100.0117,15372286728.0913,4.165625,1.25,1
166.861676216,100.0117,15372286728.0913,4.166875,-0.3125,1
167.916375637,100.0117,15372286728.0913,4.1675,-0.625,1
168.971164227,100.0117,15372286728.0913,4.1675,-0.3125,1
169.850245476,100.0117,15372286728.0913,4.165625,-0.3125,1
170.904936790,100.0117,15372286728.0913,4.1675,-0.9375,1
171.959728718,100.0117,15372286728.0913,4.168125,-1.25,1
172.838806629,100.0117,15372286728.0913,4.16625,0.625,1
173.893537998,100.0117,15372286728.0913,4.16625,0,1
174.948297024,100.0117,15372286728.0913,4.165,-0.3125,1
175.827435970,100.0117,15372286728.0913,4.165625,0.9375,1
176.882070541,100.0117,15372286728.0913,4.166875,-0.625,1
177.936861038,100.0117,15372286728.0913,4.16625,-0.3125,1
178.991796970,100.0117,15372286728.0913,4.165625,0,1
179.870649815,100.0117,15372286728.0913,4.1675,-0.625,1
180.925430775,100.0117,15372286728.0913,4.1675,-0.3125,1
181.980325699,100.0117,15372286728.0913,4.165625,0.9375,1
182.859206676,100.0117,15372286728.0913,4.168125,-0.3125,1
183.914031506,100.0117,15372286728.0913,4.165,-0.3125,1
184.968886375,100.0117,15372286728.0913,4.1675,0.625,1
185.847817898,100.0117,15372286728.0913,4.166875,0,1
186.902680874,100.0117,15372286728.0913,4.1675,0.625,1
187.957370758,100.0117,15372286728.0913,4.1675,0,1
188.836365223,100.0117,15372286728.0913,4.1675,-1.5625,1
189.891232014,100.0117,15372286728.0913,4.1675,0.9375,1
190.945921421,100.0117,15372286728.0913,4.1675,-0.3125,1
191.824911594,100.0117,15372286728.0913,4.16625,-0.625,1
192.879873753,100.0117,15372286728.0913,4.1675,0.9375,1
193.934513569,100.0117,15372286728.0913,4.16625,0.9375,1
194.989309788,100.0117,15372286728.0913,4.1675,-0.625,1
195.868408203,100.0117,15372286728.0913,4.16875,-0.625,1
196.923069000,100.0117,15372286728.0913,4.165,0.9375,1
197.977835178,100.0117,15372286728.0913,4.1675,0,1
198.856955528,100.0117,15372286728.0913,4.165625,0,1
199.911633015,100.0117,15372286728.0913,4.1675,-0.9375,1
200.966430664,100.0117,15372286728.0913,4.166875,-0.3125,1
201.845452309,100.0117,15372286728.0913,4.1675,0.625,1
202.900238514,100.0117,15372286728.0913,4.16625,-0.9375,1
203.955060005,100.0117,15372286728.0913,4.166875,-1.25,1
204.834015369,100.0117,15372286728.0913,4.165,-0.3125,1
205.888784409,100.0117,15372286728.0913,4.1675,0.3125,1
206.943665981,100.0117,15372286728.0913,4.166875,-1.875,1
207.998396397,100.0117,15372286728.0913,4.166875,-0.9375,1
208.877369881,100.0117,15372286728.0913,4.165625,-0.9375,1
209.932232380,100.0117,15372286728.0913,4.16625,0.625,1
210.986917973,100.0117,15372286728.0913,4.165,-0.9375,1
211.865923881,100.0117,15372286728.0913,4.1675,0.9375,1
212.920820236,100.0117,15372286728.0913,4.165625,0.625,1
213.975492477,100.0117,15372286728.0913,4.165625,0.625,1
214.854496002,100.0117,15372286728.0913,4.16625,-0.3125,1
215.909377098,100.0117,15372286728.0913,4.165625,1.875,1
216.964059353,100.0117,15372286728.0913,4.16625,0.9375,1
217.843140602,100.0117,15372286728.0913,4.165,-0.3125,1
218.897943974,100.0117,15372286728.0913,4.16625,-0.3125,1
219.952653885,100.0117,15372286728.0913,4.166875,0.3125,1
220.831688404,100.0117,15372286728.0913,4.1675,-0.3125,1
221.886381149,100.0117,15372286728.0913,4.168125,0.625,1
222.941168785,100.0117,15372286728.0913,4.168125,0.9375,1
223.996120453,100.0117,15372286728.0913,4.165625,1.25,1
224.875013828,100.0117,15372286728.0913,4.16625,0.625,1
225.929747105,100.0117,15372286728.0913,4.166875,0.625,1
226.984654427,100.0117,15372286728.0913,4.166875,0.3125,1
227.863518238,100.0117,15372286728.0913,4.16625,-1.25,1
228.918303490,100.0117,15372286728.0913,4.166875,-0.9375,1
229.973195076,100.0117,15372286728.0913,4.16625,0,1
230.852088928,100.0117,15372286728.0913,4.1675,-0.3125,1
231.906875133,100.0117,15372286728.0913,4.165625,-0.9375,1
232.961758137,100.0117,15372286728.0913,4.168125,-0.625,1
233.840663433,100.0117,15372286728.0913,4.168125,0,1
234.895577431,100.0117,15372286728.0913,4.1675,-0.625,1
235.950404644,100.0117,15372286728.0913,4.166875,0.625,1
236.829269409,100.0117,15372286728.0913,4.166875,-1.5625,1
237.884133339,100.0117,15372286728.0913,4.16625,-0.625,1
238.938864708,100.0117,15372286728.0913,4.166875,1.5625,1
239.993641376,100.0117,15372286728.0913,4.1675,1.875,1
240.872697830,100.0117,15372286728.0913,4.16625,-0.625,1
241.927421093,100.0117,15372286728.0913,4.168125,-0.3125,1
242.982162476,100.0117,15372286728.0913,4.16625,1.25,1
243.861267090,100.0117,15372286728.0913,4.1675,0,1
244.915965557,100.0117,15372286728.0913,4.165625,-1.25,1
245.970752239,100.0117,15372286728.0913,4.165625,0.625,1
246.849836826,100.0117,15372286728.0913,4.1675,1.5625,1
247.904540062,100.0117,15372286728.0913,4.1675,0.625,1
248.959288120,100.0117,15372286728.0913,4.16625,0.9375,1
249.838342190,100.0117,15372286728.0913,4.1675,-0.3125,1
250.893068790,100.0117,15372286728.0913,4.168125,0.625,1
251.947947979,100.0117,15372286728.0913,4.16625,0,1
252.826918602,100.0117,15372286728.0913,4.1675,0.9375,1
253.881668568,100.0117,15372286728.0913,4.1675,0.625,1
254.936579227,100.0117,15372286728.0913,4.168125,0.625,1
255.991257191,100.0117,15372286728.0913,4.16875,-0.625,1
256.870202541,100.0117,15372286728.0913,4.165625,0,1
257.925168514,100.0117,15372286728.0913,4.1675,1.5625,1
258.979846478,100.0117,15372286728.0913,4.1675,0.625,1
259.858813286,100.0117,15372286728.0913,4.16625,-1.5625,1
260.913698196,100.0117,15372286728.0913,4.16625,-0.9375,1
261.968386173,100.0117,15372286728.0913,4.1675,1.5625,1
262.847359657,100.0117,15372286728.0913,4.165625,-0.3125,1
263.902248859,100.0117,15372286728.0913,4.165625,-0.3125,1
264.956934929,100.0117,15372286728.0913,4.16625,-0.9375,1
265.836071968,100.0117,15372286728.0913,4.165625,0.9375,1
