Time (s),W,X,Y,Z
254.996454716,0.8896293,0.02928913,-0.02089461,-0.4515453
255.997648716,0.8895989,0.02916864,-0.0197358,-0.4516649
256.996370316,0.8895208,0.02909228,-0.01910773,-0.4518508
257.997564316,0.8732724,0.03108731,-0.01791459,-0.4824269
258.996286869,0.8111472,0.034452,-0.0160857,-0.5807083
259.997481823,0.7300718,0.03706067,-0.01323775,-0.6797603
260.996204376,0.641073,0.03853157,-0.009454935,-0.7642506
261.997398853,0.5413988,0.03959467,-0.005143797,-0.8378072
262.996121407,0.4334871,0.03999446,-0.0005083829,-0.8983968
263.997316360,0.3176548,0.03973597,0.00416608,-0.9455827
264.996039867,0.1976801,0.03884032,0.009002245,-0.9777324
265.997235775,0.07419307,0.03747295,0.01363407,-0.9947528
266.995958805,-0.05005086,0.03550724,0.01821376,-0.996258
267.997154713,-0.1736835,0.03315206,0.02235819,-0.9822744
268.995878220,-0.2946645,0.03013108,0.02628762,-0.9529961
269.997074127,-0.4058256,0.02684722,0.02939602,-0.9112345
270.995798111,-0.444732,0.02440074,0.02895895,-0.8929766
271.996994019,-0.4455975,0.0222271,0.02911134,-0.8925969
272.995718479,-0.4454647,0.02101356,0.02905219,-0.8926944
273.996914387,-0.4456893,0.02007411,0.02889967,-0.8926089
274.995638847,-0.4609315,0.01900603,0.03020651,-0.8848143
275.996834755,-0.5530348,0.0172496,0.03349445,-0.8302776
276.998031616,-0.6511583,0.01468734,0.03612809,-0.7557114
277.996756077,-0.7401398,0.01153585,0.03777166,-0.6687758
278.997952461,-0.814449,0.00729552,0.0388754,-0.5759653
279.996677399,-0.8790087,0.002630338,0.03941272,-0.471605
280.997874737,-0.9313504,-0.00180222,0.0392965,-0.3573048
281.996599197,-0.968855,-0.006677273,0.03879735,-0.2374824
282.997796535,-0.9906682,-0.01158286,0.03760205,-0.1168586
283.996520996,-0.9975061,-0.01622054,0.03576977,0.00817696
284.997718334,-0.988485,-0.02056587,0.03334662,0.1341267
285.996443272,-0.9645799,-0.0247638,0.0303978,0.2543151
286.997640610,-0.925252,-0.02817922,0.02726135,0.3728261
287.996366024,-0.8938903,-0.02937382,0.02442875,0.4428636
288.997563362,-0.8967757,-0.02881543,0.02217485,0.4371486
289.996289253,-0.8969452,-0.02865185,0.02053192,0.4368919
290.997487068,-0.8969446,-0.02827596,0.02001036,0.4369418
291.996212959,-0.8954825,-0.02920625,0.01872653,0.4399262
292.997410774,-0.8493785,-0.03241637,0.01727366,0.5232921
293.996136665,-0.7784836,-0.03535475,0.01511213,0.623789
294.997335434,-0.6977066,-0.03761746,0.0117105,0.7129384
295.996061802,-0.6013454,-0.0390043,0.007729904,0.7958834
296.997260571,-0.4984111,-0.03971486,0.00333036,0.8640751
297.995986938,-0.3862371,-0.03999851,-0.001420069,0.9196993
298.997186184,-0.2666776,-0.03944891,-0.006311673,0.9612048
299.995913506,-0.1425287,-0.03841174,-0.01115451,0.9872757
300.997112751,-0.01691558,-0.03683421,-0.01569038,0.9973659
301.995840073,0.1085641,-0.03446203,-0.02003602,0.9915909
302.997039318,0.2321446,-0.03065737,-0.02323838,0.9701838
303.995766640,0.3479796,-0.02821422,-0.02736565,0.9348758
304.996966362,0.4223745,-0.02536062,-0.02831128,0.9037603
305.995693684,0.4161617,-0.02299706,-0.02795038,0.9067122
306.996893883,0.4158675,-0.02159911,-0.02789525,0.9068832
307.995621681,0.4158645,-0.02077022,-0.02773373,0.906909
308.996821404,0.4176846,-0.01994884,-0.02843057,0.9060689
309.995549202,0.4992692,-0.01820575,-0.03162638,0.8637282
