Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
79.901789665,100.0117,15372286728.0913,4.15625,-0.625,1
80.956566334,100.0117,15372286728.0913,4.155625,0.3125,1
81.835674286,100.0117,15372286728.0913,4.154375,0.3125,1
82.890344143,100.0117,15372286728.0913,4.155,-0.625,1
83.945259571,100.0117,15372286728.0913,4.154375,0,1
84.999944210,100.0117,15372286728.0913,4.15625,-0.3125,1
85.878935337,100.0117,15372286728.0913,4.155625,-0.3125,1
86.933828354,100.0117,15372286728.0913,4.155625,-0.3125,1
87.988498688,100.0117,15372286728.0913,4.155,0.3125,1
88.867581844,100.0117,15372286728.0913,4.155,0.625,1
89.922430038,100.0117,15372286728.0913,4.15625,0.9375,1
90.977077961,100.0117,15372286728.0913,4.155,-0.9375,1
91.856197834,100.0117,15372286728.0913,4.15375,0.625,1
92.910848618,100.0117,15372286728.0913,4.154375,0.9375,1
93.965654373,100.0117,15372286728.0913,4.156875,1.5625,1
94.844767570,100.0117,15372286728.0913,4.155,-0.625,1
95.899413586,100.0117,15372286728.0913,4.154375,0.625,1
96.954307556,100.0117,15372286728.0913,4.15375,-0.625,1
97.833218574,100.0117,15372286728.0913,4.156875,0.3125,1
98.887972832,100.0117,15372286728.0913,4.155,0,1
99.942883492,100.0117,15372286728.0913,4.155,-1.25,1
100.997565746,100.0117,15372286728.0913,4.154375,0,1
101.876569748,100.0117,15372286728.0913,4.155625,0.625,1
102.931477547,100.0117,15372286728.0913,4.155,0.9375,1
103.986166954,100.0117,15372286728.0913,4.155,-0.3125,1
104.865238190,100.0117,15372286728.0913,4.154375,-0.3125,1
105.919907570,100.0117,15372286728.0913,4.155,0.625,1
106.974692821,100.0117,15372286728.0913,4.154375,-0.625,1
107.853789806,100.0117,15372286728.0913,4.153125,0.625,1
108.908519268,100.0117,15372286728.0913,4.156875,1.25,1
109.963324547,100.0117,15372286728.0913,4.155,-0.3125,1
110.842256546,100.0117,15372286728.0913,4.155625,0,1
111.897051811,100.0117,15372286728.0913,4.15625,0.3125,1
112.951930046,100.0117,15372286728.0913,4.15625,-0.625,1
113.830836296,100.0117,15372286728.0913,4.155625,0.9375,1
114.885616302,100.0117,15372286728.0913,4.154375,1.25,1
115.940495014,100.0117,15372286728.0913,4.155625,0.625,1
116.995238781,100.0117,15372286728.0913,4.155,0.3125,1
117.874324799,100.0117,15372286728.0913,4.155,0.625,1
118.928992748,100.0117,15372286728.0913,4.153125,-0.625,1
119.983752251,100.0117,15372286728.0913,4.15625,0.625,1
120.862880230,100.0117,15372286728.0913,4.155625,-0.3125,1
121.917573452,100.0117,15372286728.0913,4.155,-0.625,1
