Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
139.998736858,-3.099191,-0.5130351,42.91463,-0.04640343,-0.03963283,0.9807237,-27.59119,4.577515,-29.76835,996.9672
140.999971390,-1.738964,0.07932665,21.14459,-0.07480388,-0.01972494,0.9755359,-15.07042,4.666772,-29.37757,996.9592
141.998733997,0.6723487,0.02009048,-3.308589,-0.06664012,-0.03418338,0.9880985,-11.69337,3.582191,-28.56045,996.9526
142.999969482,0.0540635,-0.03914569,-0.3815256,-0.0661337,-0.03323991,0.9938452,-12.43708,3.576854,-28.55737,996.9509
143.998732090,0.3013776,-0.157618,-0.07662313,-0.06564123,-0.03370801,0.9924007,-11.33064,3.954031,-28.56501,996.955
144.999967098,-0.1314221,-0.09838186,0.2282794,-0.06561147,-0.03611851,0.9909198,-11.70409,3.951945,-29.00603,996.9504
145.998729706,-0.1314221,-0.09838186,0.1063184,-0.06661843,-0.03420706,0.9923957,-11.71918,4.689123,-28.12697,996.9579
146.997492790,-0.192729,-0.03933305,-0.1368804,-0.06355593,-0.04188929,0.9903162,-11.7025,3.951363,-28.56347,996.9536
147.998728275,-0.1935262,0.02901436,-0.2001643,-0.06560133,-0.03755639,0.9885031,-12.06681,3.580105,-29.00147,996.9571
148.999964237,0.05762429,-0.08340132,0.1063537,-0.06407109,-0.0385428,0.9961161,-11.33223,3.954614,-29.00757,996.9554
149.998727322,0.05754109,-0.1370505,-0.01764438,-0.07352226,-0.03525311,0.9871569,-11.33064,3.954031,-28.56501,996.9506
150.997490883,0.1811935,-0.01079243,-0.01618238,-0.06555003,-0.0395148,0.9927616,-11.31992,3.584276,-28.11943,996.9586
151.998726368,-0.3121603,-0.007369958,0.1062131,-0.06904241,-0.03809126,0.9880325,-11.69178,3.581608,-28.1179,996.9626
152.997489929,-0.002208211,0.05835382,0.1059832,-0.0685403,-0.03856989,0.9884977,-11.7025,3.951363,-28.56347,996.9503
153.998725891,-0.06456625,-0.05493278,-0.01680245,-0.06464908,-0.0346521,0.9909442,-11.33064,3.954031,-28.56501,996.9529
154.997489452,-0.06249001,-0.1715606,0.1059068,-0.06313952,-0.03846952,0.9856073,-11.70091,3.95078,-28.12092,996.9547
155.998725414,-0.3149303,1.848908,2.898575,-0.04150584,-0.05862191,1.015656,-11.69178,3.581608,-28.1179,996.9547
156.997489929,0.3034539,0.07124197,-1.614893,-0.09809482,-0.03901278,0.9852962,-9.534924,3.967511,-29.015,996.9537
157.998725891,2.220138,-0.2841751,-0.6392052,-0.09957495,-0.0366543,0.9920365,-9.143215,3.231254,-28.56793,996.9525
158.997489929,-0.1911743,-0.2841751,0.4584438,-0.1039442,-0.04011978,0.9938993,-10.26792,3.59242,-28.56634,996.9548
