Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
101.999743462,-0.8412938,0.5394366,0.01274782,-0.5393614,-0.8413905,0.009032918,0.01560823,0.0006955401,0.9931328
103.000909328,-0.8418105,0.538639,0.01250077,-0.5386471,-0.841893,0.003011597,0.01214527,-0.004222706,0.9931723
103.999602795,-0.8420283,0.5382997,0.01250635,-0.538348,-0.8420903,-0.0005656146,0.01021929,-0.007231509,0.9931766
105.000768661,-0.8423344,0.5378223,0.01250845,-0.5378917,-0.8423787,-0.002752842,0.00904463,-0.009068305,0.9931728
105.999462605,-0.8426787,0.5372896,0.01230216,-0.5373682,-0.8427089,-0.004043324,0.008180804,-0.01003823,0.9931711
107.000628948,-0.6816505,0.7301791,0.006631737,-0.7302092,-0.6816278,-0.005564815,0.000436171,-0.008646205,0.9932178
107.999322891,-0.03479922,0.9961095,0.006696167,-0.9959967,-0.03468379,-0.01664121,-0.01642218,-0.007216678,0.993094
109.000488758,0.3541684,0.9301885,0.01345589,-0.9301315,0.3543342,-0.01297728,-0.01694171,-0.007902487,0.9930802
109.999182701,0.3579225,0.9287537,0.01222021,-0.9288008,0.3579893,-0.003687366,-0.007867102,-0.01005182,0.9931737
111.000349522,0.3574507,0.928952,0.01105954,-0.9290152,0.3574527,0.001889917,-0.002242474,-0.01099348,0.9931928
111.999043465,-0.0209024,0.9964064,0.01157186,-0.9964128,-0.0210279,0.01079618,0.01099879,-0.01137947,0.9931298
113.000209808,-0.5092125,0.8586499,0.0106242,-0.8585052,-0.5093228,0.0158039,0.01900944,-0.001130492,0.9930737
113.998904705,-0.6122699,0.7889021,0.01199772,-0.7888222,-0.612383,0.01149357,0.01642945,-0.002474002,0.9931168
115.000070572,-0.6099977,0.790639,0.01274355,-0.7906393,-0.6100989,0.006267325,0.01272997,-0.006294857,0.9931546
116.001236916,-0.6103504,0.7903596,0.01327104,-0.7904004,-0.6104342,0.003133215,0.01056835,-0.008616699,0.993162
116.999931812,-0.6108055,0.7900063,0.01347589,-0.7900692,-0.6108724,0.001090561,0.009078771,-0.01001823,0.9931637
118.001098156,-0.6246085,0.7791533,0.01589261,-0.7792675,-0.6246664,-0.001620243,0.008640705,-0.01343646,0.9931276
