Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
78.001449585,0.1511223,0.1724264,-0.0884544,0.004899297,-0.01081681,0.9891581,16.97516,7.029232,-13.59577,1007.228
79.000141621,0.2129509,-0.06451828,-0.0884544,0.004040157,-0.01810318,0.9918818,16.59554,7.395235,-13.21792,1007.22
80.001305103,0.08929379,-0.005282109,-0.0884544,0.007816067,-0.008352275,0.9891927,16.97653,7.028732,-13.21644,1007.217
80.999997139,0.7694076,-0.4791715,-17.89476,0.005342208,-0.00742599,0.9897013,16.5547,8.873503,-14.43124,1007.219
82.001162052,-0.2198488,0.1131902,2.167824,0.006345012,-0.01123531,0.9815019,15.37672,11.38817,-14.4473,1007.215
82.999854565,-0.1580203,-0.1829906,0.0335066,0.01139996,-0.01653418,0.9913983,15.00623,11.385,-14.06643,1007.219
84.001018524,2.376949,1.060969,9.241562,0.01349397,0.03479485,1.076461,15.37809,11.38767,-14.06797,1007.215
84.999711037,-0.09619179,0.4686072,46.0128,0.003438617,-0.008955157,0.998276,16.7479,1.181343,-13.54633,1007.222
86.000875473,0.583922,0.4686072,14.79079,-0.005458668,-0.009529862,0.989714,12.51942,-5.74194,-13.09233,1007.222
86.999568939,-0.1580203,0.1131902,0.2774286,0.0004366422,-0.008948654,0.9887406,11.42075,-6.48779,-13.461,1007.218
88.000733376,-0.09619179,-0.1237545,-0.0884544,0.005408129,-0.009875972,0.9953823,11.04889,-6.490458,-13.45946,1007.214
88.999425888,0.2129509,0.1131902,-0.0884544,0.01129963,-0.01214421,0.9848013,11.42211,-6.48829,-13.08167,1007.22
90.000591278,0.2129509,0.1131902,-0.0884544,0.009369183,-0.01269286,0.9910081,10.66927,-6.124454,-13.08162,1007.219
90.999283791,0.08929379,-0.1237545,0.0335066,0.004480155,-0.01328237,0.9962738,11.79397,-6.485621,-13.08321,1007.225
92.000449181,-0.09475161,-0.06479683,-0.08833188,0.007916406,-0.01274224,0.9957898,11.42211,-6.48829,-13.08167,1007.209
92.999142170,0.3988481,0.762139,27.211,0.002939064,0.02060197,0.9893195,10.31272,-6.864384,-13.89592,1007.211
94.000307560,0.08970547,0.051305,7.209401,0.007181814,-0.03157904,0.9877759,5.25096,-10.1629,-13.40537,1007.214
94.999000549,-0.03395159,-0.2448759,-0.4131613,0.01427924,-0.01022389,0.9958079,4.129142,-9.86376,-13.02394,1007.207
96.000165939,-0.0957801,-0.007931169,-0.04727831,0.00401314,-0.01664688,0.9909561,4.13539,-10.1709,-13.40075,1007.22
96.998859406,-0.1576086,-0.06716734,0.07468268,0.003929339,-0.01132376,0.9905856,4.499637,-9.860593,-13.40481,1007.231
