Time (s),Humidity (%)
116.998910427,37.52051
117.999970436,37.03711
119.001029491,37.1416
119.999617577,37.78711
121.000677586,37.34961
121.999266148,37.2002
123.000326633,36.40527
123.998915195,36.78613
124.999975681,36.07227
126.001036167,36.97266
126.999625683,37.27246
128.000687599,37.31934
128.999276638,36.27051
130.000338554,37.38965
130.998928547,36.95117
131.999990463,36.79102
132.998580933,36.46875
133.999642849,35.75293
135.000705719,36.82617
135.999296665,37.01172
137.000359535,36.53906
137.998950481,36.87402
139.000013828,36.95508
139.998605251,36.70117
140.999669075,37.85547
142.000732422,37.21094
142.999324322,37.01563
144.000388622,36.72656
144.998980522,36.91113
146.000045300,36.24316
146.998637676,36.50879
147.999702454,36.78613
149.000767708,37.44336
149.999361038,36.79785
151.000426292,36.84473
151.999019623,36.9502
153.000085354,36.69629
153.998679161,37.48145
154.999744415,35.88965
155.998339176,36.24707
156.999404907,36.21387
158.000471592,37.15918
158.999066353,35.8916
160.000132561,37.0459
160.998728275,36.76855
161.999794483,36.90723
162.998390675,36.07715
163.999457836,36.49316
165.000524998,36.81738
165.999121189,36.39063
167.000188828,36.34375
167.998785496,36.0791
168.999853611,37.61523
169.998449802,36.93457
170.999518394,36.72754
171.998115063,37.24707
172.999184608,36.01367
174.000252724,36.60156
174.998850822,36.29102
175.999919891,36.39453
176.998517513,36.52246
177.999587059,36.62598
178.998185158,37.61914
179.999255180,35.98145
181.000325680,36.45508
181.998924255,37.02051
182.999994755,35.95898
183.998593330,36.05176
184.999663830,36.13379
185.998263359,36.80371
186.999334335,35.6377
188.000405788,35.56934
188.999005795,36.52734
190.000077724,36.00879
190.998677731,36.1709
191.999749660,35.33887
192.998350143,35.97461
193.999422073,36.55273
194.998023033,35.82617
195.999095917,35.66504
197.000168324,35.52734
197.998769760,36.74023
198.999842644,36.23242
199.998445034,36.85645
200.999517918,36.76465
201.998119831,36.36133
202.999193668,35.86426
203.997795582,36.38477
204.998870373,36.8584
205.999944210,35.08105
206.998547554,37.26367
207.999622345,35.68262
208.998225212,36.22559
209.999300003,36.76855
210.997903824,36.49219
211.998979092,36.74707
213.000054836,35.46484
213.998659134,37.35938
214.999734879,37.55664
215.998338699,36.02051
216.999415398,37.69531
217.998020172,37.01563
218.999096394,35.19141
219.997701645,36.26563
220.998778820,36.19629
221.999856472,37.30566
222.998461723,36.9248
223.999539375,35.94336
224.998145580,37.6416
225.999223232,36.94922
226.997829914,36.52344
227.998907566,36.45508
228.997514248,36.16699
229.998592854,35.94727
230.999672413,36.04004
231.998279572,36.92969
232.999358177,36.09863
233.997965813,34.9209
234.999045372,36.35352
235.997653008,35.21094
236.998733044,36.00879
237.999813080,35.29297
238.998421669,36.62109
239.999502182,35.72168
240.998110771,35.60645
241.999191284,35.72168
242.997799873,35.49121
243.998881340,36.05762
244.997490406,35.00684
245.998571396,35.21484
246.999652863,35.11133
247.998262882,34.83398
248.999344826,35.52734
249.997954845,35.40137
250.999036312,34.89355
251.997646332,35.62109
252.998729229,35.40234
253.997338772,34.66309
254.998421669,35.98145
255.999504089,35.16113
256.998114586,34.98828
257.999197483,34.90723
258.997807980,34.05176
259.998890400,36.00488
260.997501850,35.77441
261.998584747,35.12793
262.997195721,35.2207
263.998278618,34.6543
264.999361992,35.3252
265.997973442,34.5166
266.999056339,35.52148
267.997668266,35.5332
268.998751640,35.08301
269.997363567,35.42969
270.998447418,35.99609
271.997059345,35.99707
272.998143196,35.78906
273.999227047,35.52344
274.997838974,36.18164
275.998923779,35.1416
276.997536182,34.69141
277.998620510,34.86523
278.997232914,35.46582
279.998317242,34.85254
280.996930122,33.06055
281.998014450,34.49512
282.999099255,35.33984
283.997711658,34.94727
284.998796463,34.6582
285.997408867,35.54883
286.998494148,34.0918
287.997107029,35.82617
288.998191833,34.86621
289.999276638,34.80859
290.997889996,35.0166
291.998975277,34.65918
292.997588158,35.35254
293.998673439,35.24902
294.997287750,35.3877
295.998372555,35.26074
296.996986866,35.13379
297.998072147,34.83301
298.999157906,34.35938
299.997771740,35.31934
300.998857021,36.00098
301.997471809,35.25
302.998557568,34.85742
303.997171402,35.12402
304.998258114,35.55176
305.996872425,34.93945
306.997958660,35.64453
307.999044895,35.44824
308.997660160,35.56348
309.998746872,35.06738
310.997361660,36.8125
311.998448849,36.44336
312.997064114,36.1543
313.998151302,36.64063
314.996766567,35.95898
315.997853756,34.17969
316.998940945,35.33496
317.997557163,34.5498
318.998644829,35.91406
319.997260571,35.47461
320.998348713,35.33691
321.996964455,34.4707
322.998053074,34.69043
323.996669769,35.31543
324.997758389,36.65625
325.998847008,35.92773
326.997463703,35.5127
327.998552799,35.52441
328.997169971,36.06836
329.998259068,36.51953
330.996876717,35.26074
331.997966290,36.6709
332.996584415,35.49219
333.997674465,34.63672
334.998764038,35.94434
335.997382641,37.1123
336.998473167,34.9043
337.997091770,35.54102
338.998182297,36.22266
339.996801853,35.34473
340.997892857,34.87109
341.996512413,36.45508
342.997603416,35.39258
343.998695374,34.86133
344.997315407,34.34082
345.998407364,35.66016
346.997027397,36.26074
347.998119831,35.38281
348.996740341,34.62012
349.997832775,35.49902
350.996454239,36.13574
351.997547626,35.97461
352.996168613,35.28223
353.997262001,35.89453
