Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
57.998692513,-0.0448425,-0.3279948,-0.7840205,-0.07981576,-0.04307879,0.9846445,-7.470873,-21.62017,-27.29382,995.1613
58.999992371,0.01698603,-0.09105004,-0.2961765,-0.07827777,-0.04550045,0.9893636,-7.478416,-21.25158,-26.85429,995.1578
59.998820305,-0.106671,0.0274223,0.06970652,-0.07985292,-0.04018461,0.9861352,-7.469284,-21.62075,-26.85127,995.1599
60.997648239,-0.1684995,-0.2095224,0.130687,-0.0753591,-0.04161119,0.9942019,-7.117281,-20.87915,-27.30141,995.1634
61.998948097,-0.4158136,0.0274223,-0.357157,-0.08115256,-0.05086442,0.9887932,-7.478416,-21.25158,-26.85429,995.1617
62.997776031,0.6970998,0.3828393,-10.72384,-0.07891547,-0.03631295,0.9885956,-6.047369,-19.02529,-27.32115,995.162
63.999075890,-0.2921566,-0.3872309,1.533239,-0.07838136,-0.03872893,0.9894996,-4.911945,-19.75621,-26.87716,995.1564
64.997902870,0.01698603,0.0274223,0.06970652,-0.07882427,-0.04211975,0.9889565,-4.927259,-19.01895,-26.06132,995.1494
65.999203682,0.07881456,-0.09105004,0.06970652,-0.08023316,-0.04364385,0.9980063,-4.555403,-19.01628,-26.06286,995.1564
66.998031139,0.01698603,0.1458946,-0.113235,-0.07877214,-0.04645707,0.9860041,-5.291346,-19.39029,-26.43609,995.1454
67.999331474,3.912183,0.4420755,-49.0196,-0.05856739,-0.04331081,0.998858,-2.086275,-13.52214,-25.67594,995.1525
68.998158932,3.232069,0.619784,-31.57917,-0.06906199,-0.06667556,0.9946232,-6.142633,-0.01144123,-26.59337,995.1595
69.999458790,1.006242,0.0274223,-11.08973,-0.07378277,-0.05025752,0.9873354,-11.36288,2.906184,-27.48141,995.1613
70.998286724,-0.0448425,0.0274223,2.325985,-0.07838085,-0.04015628,0.9851733,-13.2418,3.631685,-27.8591,995.1648
71.999587059,-0.106671,0.5013117,0.06970652,-0.08127525,-0.04454764,0.9836674,-12.48759,3.26735,-27.47982,995.1634
72.998414516,0.2024716,0.264367,-0.235196,-0.08480771,-0.03879993,0.984278,-12.86994,3.634354,-27.86064,995.1761
73.999714375,0.07881456,0.1458946,-0.4181375,-0.08384531,-0.03733351,0.9843024,-12.47846,2.898178,-27.47679,995.1634
74.998542309,-3.878211,-0.9795926,37.87761,-0.07141783,-0.04297967,0.9903343,-8.421024,1.818989,-27.04183,995.1652
75.997370243,-3.445411,-0.5649394,42.39017,-0.05180778,-0.03640007,0.9932317,-1.895176,-8.781625,-26.1586,995.1564
76.998670101,-2.64164,-0.2687586,31.0478,-0.07533227,-0.01303479,0.9890434,-5.285391,-19.7583,-27.31817,995.1503
