Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
105.999279499,0.5455994,0.8281749,0.07760744,-0.8281983,0.5494836,-0.04128436,-0.07735729,-0.0417512,0.9893709
106.998106956,0.5438146,0.8293979,0.0771507,-0.8294799,0.5476255,-0.04038741,-0.07626429,-0.04203725,0.9894434
107.999406815,0.8092797,0.5689089,0.09595173,-0.5706212,0.8136518,-0.01142079,-0.08517949,-0.04562481,0.9885603
108.998234272,0.8798978,0.4518786,0.09437399,-0.4537142,0.8839859,-0.002394855,-0.08511274,-0.04084124,0.9887742
109.999534130,0.8786188,0.4550109,0.09123095,-0.4568871,0.8823592,-0.0005168524,-0.08131554,-0.04136588,0.9890707
110.998361111,0.878613,0.4554006,0.08932415,-0.4573062,0.8821427,0.0008208938,-0.07899044,-0.04171318,0.9892439
111.997189045,0.8796611,0.4535131,0.08856926,-0.4555359,0.8830507,0.002809986,-0.07749682,-0.0429727,0.989308
112.998488426,0.8688301,0.4744306,0.08628767,-0.476034,0.8722149,-0.002401881,-0.07695139,-0.03911284,0.9895102
113.997316360,0.4039072,0.9081377,0.05173156,-0.9076922,0.4060694,-0.04146411,-0.05903526,-0.03017059,0.9910479
114.998616219,-0.2209446,0.9725141,0.01206297,-0.9710752,-0.2198999,-0.05827152,-0.05424082,-0.02447486,0.9914775
115.997443676,-0.4214003,0.9047184,0.002017383,-0.902812,-0.4203731,-0.06563289,-0.05873611,-0.02935671,0.99109
116.998743534,-0.4112338,0.9093278,0.006226048,-0.9069999,-0.4096804,-0.07437485,-0.06532171,-0.03610341,0.9904568
117.997570515,-0.4119575,0.9089983,0.006860675,-0.9063777,-0.4101828,-0.07906698,-0.0693145,-0.03865432,0.9900904
118.998870373,-0.4123398,0.9088255,0.006970063,-0.9059513,-0.4104123,-0.08269009,-0.07255846,-0.0402679,0.9897949
119.997698307,-0.4120274,0.9089637,0.007247631,-0.9060404,-0.4100473,-0.08350408,-0.07320163,-0.0408287,0.9897243
120.998998165,-0.4120594,0.9089499,0.007193074,-0.9059264,-0.4100287,-0.08482204,-0.07442485,-0.04132142,0.9896134
121.997825623,-0.06984704,0.9934433,0.04379895,-0.9908444,-0.06583142,-0.08713768,-0.08411436,-0.04935684,0.9884722
122.999125481,0.5987437,0.7892099,0.08871734,-0.788457,0.604005,-0.05191346,-0.09517649,-0.03882281,0.9879404
123.997952938,0.8042907,0.5763277,0.09377642,-0.5765255,0.8090992,-0.0278488,-0.0925528,-0.03167889,0.988443
124.999252796,0.7941875,0.5908149,0.09001699,-0.5915411,0.7984304,-0.0214142,-0.08511472,-0.03629204,0.988951
125.998079777,0.7943534,0.5909014,0.08795299,-0.5919082,0.7982621,-0.01712821,-0.08090006,-0.0385264,0.9892189
126.999380112,0.5374405,0.8346244,0.06473141,-0.8342221,0.5403665,-0.04108857,-0.06972566,-0.03188668,0.9903017
127.998208046,0.07621767,0.9926649,0.03935377,-0.9916595,0.07837802,-0.05652624,-0.05952954,-0.03464345,0.9908727
128.997035027,-0.08838069,0.992465,0.0324596,-0.9910483,-0.08612932,-0.06512623,-0.06215886,-0.03783289,0.9905955
129.998334885,-0.07655259,0.9933385,0.03449366,-0.9916467,-0.07399323,-0.07011458,-0.06743897,-0.03946964,0.9901873
130.997162342,-0.07685415,0.993274,0.03569046,-0.991472,-0.07411861,-0.07242094,-0.06964374,-0.04084546,0.9899795
131.998462200,-0.07719086,0.9932259,0.03632948,-0.9912986,-0.07432012,-0.07456816,-0.07172742,-0.04165836,0.9897977
132.997289181,-0.07687549,0.9932498,0.03631917,-0.9912458,-0.0739627,-0.07560252,-0.07277381,-0.04169887,0.98972
133.998588562,-0.3111626,0.9477847,0.01536892,-0.9455005,-0.3091888,-0.07597303,-0.06753375,-0.03804337,0.9902366
134.997416496,-0.3877097,0.919455,0.01241121,-0.9169745,-0.3855992,-0.07954302,-0.06862374,-0.04209407,0.9899986
135.998715878,-0.385083,0.9205617,0.01138968,-0.9179509,-0.3830018,-0.08071022,-0.07021166,-0.04140273,0.9899164
136.997542858,-0.3829078,0.9214638,0.01113852,-0.9186983,-0.3807696,-0.08265335,-0.07220191,-0.0417436,0.9897597
137.998843193,-0.3834453,0.9212452,0.01089326,-0.9183692,-0.3812651,-0.08403478,-0.07354818,-0.04208531,0.9896467
138.997669697,-0.3837925,0.921103,0.01079354,-0.9182254,-0.3816197,-0.08401094,-0.07354812,-0.04201205,0.9896496
139.998969555,-0.282081,0.9565006,0.02636198,-0.9538832,-0.2789419,-0.08622649,-0.07546562,-0.04934473,0.9891684
140.997796535,0.5072603,0.8516768,0.08466304,-0.8507656,0.5124785,-0.05798751,-0.09337499,-0.04256163,0.9879584
141.999095917,0.8686908,0.4724268,0.09790836,-0.4732761,0.8735667,-0.0159621,-0.09371661,-0.03252742,0.9883063
142.997923374,0.8923944,0.4269842,0.0924834,-0.4282402,0.8965326,-0.006940096,-0.08648123,-0.03350138,0.9889307
143.999222279,0.8947471,0.4226902,0.08934061,-0.4243742,0.8983892,-0.0003019404,-0.08096457,-0.03777004,0.9892431
144.998049736,0.8954154,0.4216727,0.08740269,-0.4234974,0.8987975,0.002446918,-0.07808361,-0.03934677,0.9894122
145.996877193,0.8949408,0.4229584,0.08605877,-0.4249309,0.8981127,0.005000317,-0.07572114,-0.04119983,0.9895201
146.998176098,0.8955019,0.4219213,0.08528919,-0.4239305,0.8985779,0.005958298,-0.07466447,-0.04165292,0.9895813
147.997003555,0.8958501,0.421303,0.08467225,-0.4233098,0.8988669,0.00630174,-0.07398921,-0.04164971,0.9896319
148.998302937,0.8454368,0.5160827,0.08030292,-0.5172513,0.8484876,-0.007253524,-0.07239439,-0.03549965,0.9899884
149.997129917,0.1027597,0.9906029,0.02662185,-0.9895543,0.1039967,-0.05020805,-0.05277256,-0.02108619,0.9916338
150.998429298,-0.3247285,0.9433752,0.00634988,-0.9418646,-0.3238173,-0.05893166,-0.05374111,-0.0250031,0.9914914
151.997256279,-0.3613507,0.9300749,0.008883217,-0.9281152,-0.3599397,-0.06876545,-0.06099525,-0.0329724,0.9908408
152.998555660,-0.3663583,0.9281121,0.01076224,-0.9258351,-0.364599,-0.07490903,-0.06585847,-0.03728071,0.9903779
153.997383118,-0.3630244,0.929405,0.01111582,-0.9269047,-0.3611204,-0.07829901,-0.0690276,-0.03859387,0.990113
154.998682022,-0.3639183,0.9290511,0.01173015,-0.9264136,-0.3618769,-0.08061784,-0.07093197,-0.04006854,0.9899204
155.997509480,-0.1474476,0.9854901,0.0363074,-0.9831319,-0.1440354,-0.08325993,-0.07720509,-0.04785203,0.9891075
156.998808861,0.5477855,0.8259523,0.08540947,-0.8253582,0.5527929,-0.05225869,-0.09097175,-0.04183169,0.9882128
157.997635365,0.9191227,0.3640318,0.09874314,-0.365297,0.9238773,-0.005708423,-0.09395444,-0.03090882,0.9883351
158.998934746,0.959604,0.2395131,0.09261379,-0.2414113,0.9635278,0.009589744,-0.08754663,-0.03169961,0.9888967
159.997761726,0.9588421,0.2442101,0.08815483,-0.2464375,0.9621891,0.01504056,-0.08172145,-0.03631938,0.9892348
160.999061108,0.9591511,0.2442128,0.08470739,-0.246646,0.962061,0.01925925,-0.07733679,-0.03956364,0.9894622
161.997888088,0.9593436,0.2439632,0.08322877,-0.246484,0.9620622,0.02118878,-0.07543702,-0.04105177,0.9895481
162.996715069,0.9594841,0.2436884,0.08240556,-0.246226,0.9621127,0.02187665,-0.07448141,-0.04149438,0.989602
163.998013973,0.9295771,0.3414325,0.07934746,-0.3432566,0.932224,0.01005704,-0.07104297,-0.03674316,0.9900408
164.996841431,0.5331932,0.8379173,0.05708484,-0.8379844,0.5352812,-0.03001785,-0.05609058,-0.03183703,0.9911662
165.998140812,0.3234897,0.9401236,0.05094846,-0.9397249,0.3257075,-0.04348173,-0.05783936,-0.03377892,0.9910022
166.996967793,0.3054436,0.9458727,0.05678653,-0.9453854,0.3082348,-0.04914032,-0.0643927,-0.03864015,0.9904224
167.998267174,0.3044013,0.9460621,0.05923636,-0.9455206,0.3074477,-0.05146687,-0.06732975,-0.04030497,0.9901615
168.997093678,0.3068271,0.9451349,0.0613443,-0.9444979,0.3101207,-0.05396646,-0.07047426,-0.04133862,0.9899006
169.998393536,0.1104767,0.9890629,0.04538756,-0.9879081,0.1131457,-0.06105841,-0.0659013,-0.0380155,0.9903475
170.997220039,-0.01255869,0.995726,0.0413797,-0.9944192,-0.009803848,-0.066,-0.06567325,-0.04189636,0.9902065
171.998519421,-0.005271734,0.9957459,0.04187497,-0.9942563,-0.002379535,-0.06870608,-0.06868698,-0.04190628,0.9900023
172.997345924,-0.003386956,0.9957451,0.04193479,-0.9940932,-0.0003981553,-0.07096875,-0.07103103,-0.04182919,0.9898406
173.998645306,-0.003219532,0.9957134,0.0426815,-0.9940226,-0.000136066,-0.07193999,-0.07201259,-0.04255891,0.9897388
174.997471809,0.0686151,0.9926816,0.05165556,-0.9913053,0.07214943,-0.0698382,-0.07347597,-0.04633522,0.9894629
175.998771191,0.4339769,0.8924503,0.07432796,-0.8915945,0.438304,-0.05699016,-0.08397298,-0.04148569,0.9888444
176.997597694,0.4369902,0.8913517,0.06956957,-0.890721,0.4407127,-0.05168736,-0.07722685,-0.03933856,0.98948
177.998897076,0.427732,0.8956835,0.07188089,-0.8945482,0.4319586,-0.05947344,-0.08484748,-0.03879249,0.988879
178.997723579,0.4112204,0.9038321,0.06683491,-0.9025112,0.4150763,-0.06033904,-0.08278252,-0.03542258,0.9891793
179.996550083,0.1538824,0.9831403,0.04441983,-0.9817445,0.1564781,-0.06239196,-0.06867214,-0.03391186,0.9903084
180.997849464,-0.1891354,0.9788672,0.02404014,-0.9771713,-0.1871422,-0.06805585,-0.06241025,-0.03625587,0.9906384
181.996675968,-0.2121222,0.9742055,0.02477419,-0.9722401,-0.2098342,-0.07341177,-0.06662793,-0.03954451,0.990239
182.997974396,-0.2117243,0.9742965,0.0245561,-0.9721272,-0.2093387,-0.0762469,-0.06946359,-0.03989239,0.9900315
183.996801376,0.04656683,0.9940259,0.05182134,-0.9924401,0.05033411,-0.07379145,-0.07639137,-0.04790604,0.989168
184.998099804,0.7736591,0.6164015,0.09766015,-0.6170575,0.7787849,-0.02713318,-0.09342562,-0.03931117,0.9880873
185.996926308,0.9574122,0.2462882,0.09747737,-0.2479504,0.9619059,0.005029782,-0.09316819,-0.02910022,0.9884641
186.998224735,0.9595563,0.240364,0.09088875,-0.2424002,0.9632561,0.01178782,-0.08530995,-0.03349523,0.9890326
187.997051239,0.9600768,0.2397139,0.08700027,-0.2419628,0.9633043,0.01601151,-0.08053457,-0.03660054,0.9893213
188.998350620,0.9604024,0.2393447,0.08437773,-0.2416787,0.9633346,0.01834251,-0.07743948,-0.03819916,0.989508
189.997177124,0.9607236,0.2385749,0.08287051,-0.2409723,0.9634784,0.01995946,-0.07561661,-0.03934502,0.9896033
190.998476028,0.960975,0.2376949,0.08247788,-0.2401468,0.963664,0.02091771,-0.07504012,-0.040114,0.9896166
191.997302532,0.9609575,0.2381874,0.0812514,-0.2406398,0.9635269,0.02157361,-0.07367179,-0.04049294,0.9897037
192.998600960,0.8591393,0.4938516,0.07382642,-0.4947906,0.8617333,-0.006381718,-0.06724606,-0.03112929,0.9904963
193.997427464,0.1482149,0.9845359,0.03126015,-0.9837674,0.1495462,-0.04565593,-0.04989842,-0.02391251,0.9917184
194.996254444,-0.1832434,0.980155,0.01447468,-0.9786947,-0.1821045,-0.05897767,-0.05540701,-0.02485851,0.9914036
195.997553349,-0.1873,0.9792878,0.02080744,-0.977506,-0.1855292,-0.0675866,-0.06260765,-0.03288133,0.9907436
196.996379375,-0.1892152,0.9788669,0.02342664,-0.9768193,-0.187077,-0.07309972,-0.06747887,-0.03659206,0.990295
197.997678757,-0.1910137,0.9784967,0.02453444,-0.9763021,-0.1886902,-0.0758837,-0.06994113,-0.0383212,0.9900596
198.996505260,-0.1878804,0.979067,0.02552628,-0.9768127,-0.1854438,-0.07716217,-0.07113921,-0.03930399,0.9899362
199.997803688,-0.1860478,0.9793966,0.02605201,-0.9771043,-0.1835477,-0.0779148,-0.07185789,-0.03982295,0.9898635
200.996630192,0.08047019,0.9915774,0.05487652,-0.9899235,0.08447235,-0.074843,-0.07930067,-0.04821112,0.988925
201.997929096,0.8237978,0.5471541,0.09837957,-0.5476366,0.8289475,-0.02458381,-0.09565699,-0.03365476,0.9880829
202.996755600,0.9608206,0.2334158,0.0954771,-0.2349917,0.9651404,0.005353775,-0.09152979,-0.02769178,0.988657
203.998054028,0.9589517,0.2434742,0.08899377,-0.2454507,0.962487,0.01170056,-0.08338786,-0.03321532,0.9892053
204.996880531,0.9592124,0.2436987,0.0854909,-0.2458788,0.9623215,0.01568378,-0.07900232,-0.03623957,0.9894581
205.998179436,0.9594611,0.2434137,0.08347343,-0.2457257,0.9623131,0.01835158,-0.07639971,-0.03831028,0.9895837
206.997005939,0.7538305,0.6446369,0.06598577,-0.6447747,0.7562602,-0.02215595,-0.06462541,-0.02585661,0.9908218
207.998305321,0.0558333,0.994551,0.02509078,-0.9934644,0.05706545,-0.05140425,-0.05281871,-0.02195742,0.9916123
208.997130871,-0.2156713,0.9735775,0.01851076,-0.9721659,-0.2142056,-0.06090397,-0.05557948,-0.03103003,0.9912204
209.998430252,-0.1960056,0.9776014,0.02131938,-0.9757811,-0.1941483,-0.06871914,-0.06332627,-0.03415582,0.9906546
210.997256279,-0.1923423,0.9782606,0.02373381,-0.9762238,-0.1901727,-0.07320847,-0.0674108,-0.03712892,0.9902794
211.996082783,0.4463396,0.8857216,0.08076806,-0.8854004,0.4510391,-0.05332401,-0.08421614,-0.04769246,0.9885451
212.997381210,0.9174803,0.3684031,0.0978621,-0.3697372,0.9221208,-0.004916113,-0.09269438,-0.03176335,0.9884272
213.996208191,0.9580032,0.2462381,0.09159924,-0.2479894,0.961876,0.007968845,-0.08674632,-0.03047948,0.989005
214.997506618,0.959343,0.2425235,0.08734072,-0.2446691,0.9626476,0.01447424,-0.08113614,-0.03542361,0.9893154
