Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
83.998974800,-0.0136974,0.2067633,0.2011622,0.01941983,-0.02607949,0.9902115,5.16765,-9.119021,-12.14924,1008.002
84.997814655,0.2954452,0.08829096,-0.04275976,0.02139674,-0.02748399,0.9873081,4.806287,-9.491362,-11.76534,1008.005
85.999126911,0.7282449,-0.08941755,2.39646,0.0237646,-0.02163612,0.9864581,5.178144,-9.488693,-11.76688,1008.003
86.997966766,0.8519019,0.0290548,14.59256,0.02544732,-0.03134982,0.997716,1.523142,-9.515516,-11.30921,1007.991
87.999278545,-0.2610115,0.1475271,15.20236,0.02137729,-0.02698715,0.9849305,-2.942091,-9.546455,-12.11264,1008.002
88.998117924,0.6045879,0.2067633,14.40962,0.02202637,-0.03428467,0.9938542,-6.606453,-9.204023,-11.72121,1008
89.999430180,-0.4464971,0.2067633,14.89746,0.01686127,-0.02410953,0.976893,-10.70795,-6.279558,-11.72875,1008.008
90.998269558,0.9137305,-0.3263623,14.65354,0.01971453,-0.01919765,0.971724,-13.02128,-2.973023,-11.74675,1008.004
91.999581337,0.6664164,-0.08941755,14.4706,0.02003265,-0.0262034,1.014083,-15.31324,-0.4669447,-11.31564,1007.999
92.998421669,-0.1373544,0.443708,14.7755,0.01915233,-0.01912901,0.9578797,-15.79468,3.960448,-11.3504,1008.006
93.997261524,0.6664164,-0.5633069,14.89746,0.01357531,-0.02719176,0.9997695,-15.14076,7.595974,-11.38322,1008.013
94.998573303,0.4809308,0.08829096,14.95844,0.01836169,-0.02934378,0.9653198,-13.39113,11.97843,-11.86926,1008.015
95.997412682,0.2954452,0.2067633,15.01942,0.009476082,-0.01518758,1.004806,-11.23304,14.94782,-11.90269,1008.012
96.998724937,-0.5083256,-0.08941755,14.95844,0.01799458,-0.02901254,0.9915926,-7.641741,17.55876,-12.31833,1008.025
97.997564316,0.1717882,-0.03018137,12.33628,0.01794917,-0.02325575,1.000304,-2.904585,19.00817,-12.34966,1008.029
98.998876095,-0.2610115,-0.2078899,0.01822074,0.02584376,-0.02600586,0.9949557,-2.912355,19.37684,-11.97335,1008.032
99.997716427,0.1717882,0.1475271,-0.04275976,0.02185911,-0.02459001,0.990229,-3.285574,19.37467,-12.35114,1008.035
100.999028206,-0.0136974,0.2067633,-0.1037403,0.01788118,-0.0217547,0.9912609,-2.170002,19.38267,-12.35576,1008.035
101.997868061,0.04813112,0.0290548,0.01822074,0.02131984,-0.0212172,0.9912542,-2.541859,19.38,-12.35422,1008.034
102.999179840,0.1717882,0.1475271,11.9704,0.02031854,-0.02168994,0.9864745,-2.550991,19.74918,-12.35725,1008.023
103.998019218,0.6045879,-0.03018137,15.01942,0.02302699,-0.03190879,1.004402,2.289101,19.41586,-13.25932,1008.034
