Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
354.995764256,0.1340728,0.9821308,22.68413
355.994604111,0.1777013,0.9903128,22.10801
356.995915890,0.1633707,0.9869282,22.15543
357.994756222,0.1211735,0.9816561,22.4611
358.996068001,0.1648954,0.9945346,22.38912
359.994907856,0.1006925,0.9897704,22.59439
360.996220589,0.3903876,0.9869707,22.38912
361.995060444,0.1254205,0.9964746,22.11519
362.996373177,0.1301891,0.9888341,22.31581
363.995213032,0.07119672,0.9945353,21.96669
364.996525288,0.159125,1.00403,21.82954
365.995365143,0.1904187,0.9859148,22.17582
366.996677876,0.1747796,0.995595,22.24947
367.995518684,1.584503,0.9921155,22.0399
368.994359016,0.2580355,0.9966006,22.25465
